District,Model,MAE,MSE,RMSE
Ampara,ARIMA,36.561651160028106,1609.722867038097,40.12135175985596
Ampara,ExponentialSmoothing,65.74964197139532,4726.528188362957,68.74975046036863
Ampara,RandomForest,23.64857771164021,2520.5104946462884,50.204685982946735
Ampara,Prophet,42.00056062174418,2429.5203087234786,49.29016442175334
Anuradapura,ARIMA,95.98873050093414,9684.61980835155,98.41046594926553
Anuradapura,ExponentialSmoothing,212.98683562725145,47552.480074799016,218.06531148901013
Anuradapura,RandomForest,27.448536375661387,3060.080018716549,55.31799000972965
Anuradapura,Prophet,92.86133565120947,9846.24131446707,99.22822841544169
Badulla,ARIMA,139.53354646143993,20118.966829198263,141.84134386418603
Badulla,ExponentialSmoothing,388.865384864873,158265.0619894774,397.8254164699352
Badulla,RandomForest,29.67914451058201,3849.9501858884996,62.04796681510604
Badulla,Prophet,134.49752223316278,22039.409508973327,148.45675972812194
Battocolo,ARIMA,266.3928706751113,93033.89412149844,305.0145801785522
Battocolo,ExponentialSmoothing,680.8337049824992,543958.2060355268,737.5352235897122
Battocolo,RandomForest,553.6458423520925,367826.58888995624,606.487088807302
Battocolo,Prophet,258.6437020020532,96215.60400514252,310.18640203133106
Colombo,ARIMA,1368.4123311249602,1957606.2366870742,1399.1448233428425
Colombo,ExponentialSmoothing,2691.8711759628864,7516709.976342258,2741.66190044328
Colombo,RandomForest,238.53829761904765,205766.66582406845,453.61510757917716
Colombo,Prophet,1584.3914510346847,2869209.2562773875,1693.8740379016933
Galle,ARIMA,478.44498511582856,262640.55256477935,512.4846852002305
Galle,ExponentialSmoothing,724.7449255836135,561639.7105071677,749.4262542152949
Galle,RandomForest,115.98342195767196,42329.577342798395,205.74153042786085
Galle,Prophet,344.70170614187356,132332.7671604539,363.7757099648819
Gampaha,ARIMA,1103.9462213348825,1235233.0978766636,1111.4104092893244
Gampaha,ExponentialSmoothing,2293.6566202292615,5442000.679496889,2332.8096106405446
Gampaha,RandomForest,152.7525796957672,83226.17944640847,288.4894789180508
Gampaha,Prophet,1303.0303643547159,1901295.1350507839,1378.8745900373913
Hambantota,ARIMA,170.55240708620423,31243.79386647829,176.759140828638
Hambantota,ExponentialSmoothing,191.65258868634032,38900.62030054203,197.232401751188
Hambantota,RandomForest,21.619394179894183,2072.627736309057,45.52612147228289
Hambantota,Prophet,144.55268702857703,23078.481093601604,151.91603303667986
Jaffna,ARIMA,972.3199968209133,962978.789967114,981.3148271411749
Jaffna,ExponentialSmoothing,2389.3723612064355,5789520.748402133,2406.1422959588513
Jaffna,RandomForest,147.717894510582,106382.84807513245,326.16383624665144
Jaffna,Prophet,433.8774829410448,223449.35028178772,472.7042947570793
Kalminai,ARIMA,153.28833300114977,24408.918727814627,156.23353906192688
Kalminai,ExponentialSmoothing,328.91982989250323,121794.83204842481,348.9911632812854
Kalminai,RandomForest,68.45197920557112,25722.13948878946,160.38123172238534
Kalminai,Prophet,142.9902583374754,25092.790243070587,158.40703975224898
Kalutara,ARIMA,485.68151090012043,245184.87619685804,495.1614647737221
Kalutara,ExponentialSmoothing,926.1186045257313,888973.9005345819,942.8541247375343
Kalutara,RandomForest,103.39021197089949,28330.562019511188,168.31685007601345
Kalutara,Prophet,487.8427458295825,269812.94599157746,519.435218281912
Kandy,ARIMA,350.1756839929182,159080.8010107896,398.84934625844585
Kandy,ExponentialSmoothing,1248.9616199351774,1600647.596043703,1265.1670229830142
Kandy,RandomForest,185.77617328042325,61861.377600359876,248.71947571583507
Kandy,Prophet,504.89019510956706,296762.41260140593,544.759040862477
Kegalla,ARIMA,103.53674464665198,13296.725049545143,115.31142636159325
Kegalla,ExponentialSmoothing,364.22880956506043,143571.83672691925,378.90874459019716
Kegalla,RandomForest,43.00157242063492,3755.9038243440477,61.28542913567668
Kegalla,Prophet,267.1978519311625,82731.19479393808,287.630309240765
Killinochchi,ARIMA,44.75056086254083,2019.9937394504807,44.94434046073522
